subject,trial,slotchoice,reward,ExpectedValue,RPE
1019,1,3,-1,0.000000,-1.000000
1019,2,1,1,0.000000,1.000000
1019,3,1,1,0.273240,0.726760
1019,4,2,-1,0.000000,-1.000000
1019,5,3,0,-0.223764,0.223764
1019,6,3,-1,-0.162623,-0.837377
1019,7,3,1,-0.349997,1.349997
1019,8,3,-1,0.018875,-1.018875
1019,9,1,1,0.471819,0.528181
1019,10,1,0,0.616139,-0.616139
1019,11,1,1,0.478270,0.521730
1019,12,2,-1,-0.223764,-0.776236
1019,13,1,1,0.620827,0.379173
1019,14,1,1,0.724432,0.275568
1019,15,3,0,-0.209112,0.209112
1019,16,3,-1,-0.151974,-0.848026
1019,17,3,1,-0.341731,1.341731
1019,18,1,1,0.799728,0.200272
1019,19,3,0,0.024883,-0.024883
1019,20,3,1,0.019315,0.980685
1019,21,1,1,0.854450,0.145550
1019,22,1,1,0.894220,0.105780
1019,23,3,0,0.287277,-0.287277
1019,24,1,1,0.923123,0.076877
1019,25,1,0,0.944129,-0.944129
1019,26,1,1,0.732867,0.267133
1019,27,3,-1,0.222995,-1.222995
1019,28,3,1,-0.050667,1.050667
1019,29,3,0,0.236417,-0.236417
1019,30,3,-1,0.183515,-1.183515
1019,31,1,1,0.805859,0.194141
1019,32,3,-1,-0.081312,-0.918688
1019,33,3,0,-0.286881,0.286881
1019,34,3,1,-0.208494,1.208494
1019,35,1,1,0.858906,0.141094
1019,36,1,1,0.897458,0.102542
1019,37,3,0,0.121714,-0.121714
1019,38,1,0,0.925477,-0.925477
1019,39,3,-1,0.094479,-1.094479
1019,40,1,1,0.718389,0.281611
1019,41,3,1,-0.150425,1.150425
1019,42,3,-1,0.163916,-1.163916
1019,43,3,1,-0.096526,1.096526
1019,44,1,1,0.795336,0.204664
1019,45,3,0,0.203088,-0.203088
1019,46,3,0,0.157645,-0.157645
1019,47,3,-1,0.122369,-1.122369
1019,48,3,1,-0.128776,1.128776
1019,49,1,0,0.851258,-0.851258
1019,50,1,0,0.660778,-0.660778
1019,51,1,1,0.512920,0.487080
1019,52,1,1,0.646009,0.353991
1019,53,3,0,0.179650,-0.179650
1019,54,3,-1,0.139451,-1.139451
1019,55,3,0,-0.115517,0.115517
1019,56,3,-1,-0.083953,-0.916047
1019,57,3,-1,-0.288931,-0.711069
1019,58,1,0,0.742734,-0.742734
1019,59,3,0,-0.448042,0.448042
1019,60,1,1,0.576537,0.423463
1019,61,1,1,0.692244,0.307756
1019,62,3,0,-0.325619,0.325619
1019,63,1,0,0.776335,-0.776335
1019,64,1,1,0.602619,0.397381
1019,65,1,0,0.711199,-0.711199
1019,66,1,1,0.552059,0.447941
1019,67,3,0,-0.236647,0.236647
1019,68,1,1,0.674454,0.325546
1019,69,1,1,0.763406,0.236594
1019,70,3,1,-0.171986,1.171986
1019,71,1,1,0.828053,0.171947
1019,72,1,1,0.875036,0.124964
1019,73,1,0,0.909181,-0.909181
1019,74,1,1,0.705739,0.294261
1019,75,3,-1,0.148247,-1.148247
1019,76,3,0,-0.108689,0.108689
1019,77,1,1,0.786143,0.213857
1019,78,1,1,0.844577,0.155423
1019,79,3,0,-0.078991,0.078991
1019,80,3,1,-0.057407,1.057407
1019,81,1,1,0.887045,0.112955
1019,82,3,-1,0.231518,-1.231518
1019,83,1,1,0.917909,0.082091
1019,84,1,1,0.940339,0.059661
1019,85,3,1,-0.044051,1.044051
1019,86,3,-1,0.241225,-1.241225
1019,87,3,0,-0.036516,0.036516
1019,88,1,1,0.956641,0.043359
1019,89,1,1,0.968488,0.031512
1019,90,3,1,-0.026538,1.026538
1019,91,1,1,0.977099,0.022901
1019,92,3,1,0.253953,0.746047
1019,93,1,1,0.983356,0.016644
1019,94,1,1,0.987904,0.012096
1019,95,3,-1,0.457802,-1.457802
1019,96,3,0,0.131599,-0.131599
1019,97,3,-1,0.102152,-1.102152
1019,98,1,0,0.991209,-0.991209
1019,99,1,1,0.769413,0.230587
1019,100,3,-1,-0.144469,-0.855531
