subject,condition,alpha,alpha_se,beta,beta_se,psuedoR2,BIC
1019,Money,0.370896,0.079130,6.067592,1.309279,0.735675,41.978552
1019,Social,0.181536,0.053154,6.291818,1.442660,0.691518,47.037901
1020,Money,0.310058,0.078469,5.723566,1.318681,0.705845,44.839772
1020,Social,0.147344,0.102406,7.164000,3.556689,0.732613,41.180727
1030,Money,0.182961,0.081351,1.708611,0.597899,0.059161,102.461526
1030,Social,0.335994,0.111760,2.956031,0.630311,0.385042,78.719469
2001,Money,0.018561,0.013498,5.456357,3.178609,0.183544,110.865995
2001,Social,0.760653,0.183585,3.334820,1.067241,0.313798,93.640971
2004,Money,0.330839,0.113308,10.071986,3.281026,0.937047,16.854005
2004,Social,0.535366,0.105116,6.700158,1.620929,0.823748,30.990014
2005,Money,0.557387,0.104936,4.872921,1.106695,0.674597,43.899581
2005,Social,0.583507,0.128293,5.234898,1.298874,0.673389,48.799253
2006,Money,0.403506,0.156527,9.476798,3.198046,0.929147,16.250834
2006,Social,0.083628,0.053159,4.389896,1.419261,0.284952,85.015213
2007,Money,0.390505,0.174219,2.788456,0.527833,0.432842,79.761987
2007,Social,0.109324,0.061690,6.608490,2.411059,0.687460,47.994190
2008,Money,0.340938,0.062359,7.517232,1.848584,0.697608,46.727955
2008,Social,0.286382,0.084387,6.159173,1.391423,0.768043,37.940056
